#"No.","Time","Source","Destination","Protocol","Length","Info"
"20391","91.377551","136.186.229.110","136.186.230.189","HTTP","538","GET /bunny_4219897bps/BigBuckBunny_2s59.m4s HTTP/1.1 "
"20912","93.633233","136.186.229.110","136.186.230.189","HTTP","538","GET /bunny_4219897bps/BigBuckBunny_2s60.m4s HTTP/1.1 "
"21087","94.168279","136.186.229.110","136.186.230.189","HTTP","538","GET /bunny_3526922bps/BigBuckBunny_2s60.m4s HTTP/1.1 "
"21659","96.663815","136.186.229.110","136.186.230.189","HTTP","541","GET /bunny_3526922bps/BigBuckBunny_2s_init.mp4 HTTP/1.1 "
"21934","113.401674","136.186.229.110","136.186.230.189","HTTP","538","GET /bunny_3526922bps/BigBuckBunny_2s61.m4s HTTP/1.1 "
"22403","115.528366","136.186.229.110","136.186.230.189","HTTP","538","GET /bunny_3526922bps/BigBuckBunny_2s62.m4s HTTP/1.1 "
"22842","117.330445","136.186.229.110","136.186.230.189","HTTP","538","GET /bunny_3526922bps/BigBuckBunny_2s63.m4s HTTP/1.1 "
"23139","119.585184","136.186.229.110","136.186.230.189","HTTP","538","GET /bunny_3526922bps/BigBuckBunny_2s64.m4s HTTP/1.1 "
"23610","121.486764","136.186.229.110","136.186.230.189","HTTP","538","GET /bunny_3526922bps/BigBuckBunny_2s65.m4s HTTP/1.1 "
"23946","123.027253","136.186.229.110","136.186.230.189","HTTP","538","GET /bunny_3840360bps/BigBuckBunny_2s65.m4s HTTP/1.1 "
"24331","124.569661","136.186.229.110","136.186.230.189","HTTP","538","GET /bunny_3840360bps/BigBuckBunny_2s66.m4s HTTP/1.1 "
"24716","126.290087","136.186.229.110","136.186.230.189","HTTP","538","GET /bunny_3840360bps/BigBuckBunny_2s67.m4s HTTP/1.1 "
"25153","128.077505","136.186.229.110","136.186.230.189","HTTP","538","GET /bunny_3840360bps/BigBuckBunny_2s68.m4s HTTP/1.1 "
"25643","130.054461","136.186.229.110","136.186.230.189","HTTP","538","GET /bunny_3840360bps/BigBuckBunny_2s69.m4s HTTP/1.1 "
"26090","131.878787","136.186.229.110","136.186.230.189","HTTP","538","GET /bunny_3840360bps/BigBuckBunny_2s70.m4s HTTP/1.1 "
"26546","133.886746","136.186.229.110","136.186.230.189","HTTP","538","GET /bunny_3840360bps/BigBuckBunny_2s71.m4s HTTP/1.1 "
"26968","135.768410","136.186.229.110","136.186.230.189","HTTP","538","GET /bunny_3840360bps/BigBuckBunny_2s72.m4s HTTP/1.1 "
"27528","138.016926","136.186.229.110","136.186.230.189","HTTP","538","GET /bunny_3840360bps/BigBuckBunny_2s73.m4s HTTP/1.1 "
"27876","139.505956","136.186.229.110","136.186.230.189","HTTP","538","GET /bunny_3840360bps/BigBuckBunny_2s74.m4s HTTP/1.1 "
"28382","141.590228","136.186.229.110","136.186.230.189","HTTP","538","GET /bunny_3840360bps/BigBuckBunny_2s75.m4s HTTP/1.1 "
"28789","143.278265","136.186.229.110","136.186.230.189","HTTP","538","GET /bunny_3840360bps/BigBuckBunny_2s76.m4s HTTP/1.1 "
"29178","144.915854","136.186.229.110","136.186.230.189","HTTP","538","GET /bunny_3840360bps/BigBuckBunny_2s77.m4s HTTP/1.1 "
"29688","147.132182","136.186.229.110","136.186.230.189","HTTP","538","GET /bunny_3840360bps/BigBuckBunny_2s78.m4s HTTP/1.1 "
"30062","149.453106","136.186.229.110","136.186.230.189","HTTP","538","GET /bunny_3840360bps/BigBuckBunny_2s79.m4s HTTP/1.1 "
"30318","151.294039","136.186.229.110","136.186.230.189","HTTP","538","GET /bunny_3840360bps/BigBuckBunny_2s80.m4s HTTP/1.1 "
"30643","153.661101","136.186.229.110","136.186.230.189","HTTP","538","GET /bunny_3078587bps/BigBuckBunny_2s80.m4s HTTP/1.1 "
"30939","155.829853","136.186.229.110","136.186.230.189","HTTP","541","GET /bunny_3078587bps/BigBuckBunny_2s_init.mp4 HTTP/1.1 "
"30948","155.840125","136.186.229.110","136.186.230.189","HTTP","538","GET /bunny_2484135bps/BigBuckBunny_2s80.m4s HTTP/1.1 "
"30999","155.865280","136.186.229.110","136.186.230.189","HTTP","541","GET /bunny_1546902bps/BigBuckBunny_2s_init.mp4 HTTP/1.1 "
"31248","157.924525","136.186.229.110","136.186.230.189","HTTP","541","GET /bunny_2484135bps/BigBuckBunny_2s_init.mp4 HTTP/1.1 "
"31257","157.934447","136.186.229.110","136.186.230.189","HTTP","538","GET /bunny_1546902bps/BigBuckBunny_2s80.m4s HTTP/1.1 "
"31416","159.071879","136.186.229.110","136.186.230.189","HTTP","538","GET /bunny_1546902bps/BigBuckBunny_2s81.m4s HTTP/1.1 "
"31639","160.654422","136.186.229.110","136.186.230.189","HTTP","538","GET /bunny_1546902bps/BigBuckBunny_2s82.m4s HTTP/1.1 "
"31855","162.252074","136.186.229.110","136.186.230.189","HTTP","538","GET /bunny_1546902bps/BigBuckBunny_2s83.m4s HTTP/1.1 "
"32081","163.862905","136.186.229.110","136.186.230.189","HTTP","538","GET /bunny_1546902bps/BigBuckBunny_2s84.m4s HTTP/1.1 "
"32226","164.925948","136.186.229.110","136.186.230.189","HTTP","538","GET /bunny_1546902bps/BigBuckBunny_2s85.m4s HTTP/1.1 "
"32464","166.521953","136.186.229.110","136.186.230.189","HTTP","538","GET /bunny_1546902bps/BigBuckBunny_2s86.m4s HTTP/1.1 "
"32538","167.084146","136.186.229.110","136.186.230.189","HTTP","538","GET /bunny_1546902bps/BigBuckBunny_2s87.m4s HTTP/1.1 "
"32658","167.880160","136.186.229.110","136.186.230.189","HTTP","538","GET /bunny_2133691bps/BigBuckBunny_2s87.m4s HTTP/1.1 "
"32869","169.361768","136.186.229.110","136.186.230.189","HTTP","541","GET /bunny_2133691bps/BigBuckBunny_2s_init.mp4 HTTP/1.1 "
"32884","169.429046","136.186.229.110","136.186.230.189","HTTP","538","GET /bunny_2133691bps/BigBuckBunny_2s88.m4s HTTP/1.1 "
"33177","171.660342","136.186.229.110","136.186.230.189","HTTP","538","GET /bunny_2133691bps/BigBuckBunny_2s89.m4s HTTP/1.1 "
"33498","174.018398","136.186.229.110","136.186.230.189","HTTP","538","GET /bunny_2133691bps/BigBuckBunny_2s90.m4s HTTP/1.1 "
"33786","176.072413","136.186.229.110","136.186.230.189","HTTP","538","GET /bunny_1546902bps/BigBuckBunny_2s90.m4s HTTP/1.1 "
"33972","177.381701","136.186.229.110","136.186.230.189","HTTP","538","GET /bunny_1546902bps/BigBuckBunny_2s91.m4s HTTP/1.1 "
"34218","179.199324","136.186.229.110","136.186.230.189","HTTP","538","GET /bunny_1546902bps/BigBuckBunny_2s92.m4s HTTP/1.1 "
"34473","181.053530","136.186.229.110","136.186.230.189","HTTP","538","GET /bunny_1546902bps/BigBuckBunny_2s93.m4s HTTP/1.1 "
"34699","182.655349","136.186.229.110","136.186.230.189","HTTP","538","GET /bunny_1546902bps/BigBuckBunny_2s94.m4s HTTP/1.1 "
"34978","184.697642","136.186.229.110","136.186.230.189","HTTP","538","GET /bunny_1546902bps/BigBuckBunny_2s95.m4s HTTP/1.1 "
"35177","186.216750","136.186.229.110","136.186.230.189","HTTP","538","GET /bunny_1546902bps/BigBuckBunny_2s96.m4s HTTP/1.1 "
"35270","186.843481","136.186.229.110","136.186.230.189","HTTP","538","GET /bunny_1546902bps/BigBuckBunny_2s97.m4s HTTP/1.1 "
"35501","188.623835","136.186.229.110","136.186.230.189","HTTP","538","GET /bunny_1546902bps/BigBuckBunny_2s98.m4s HTTP/1.1 "
"35758","190.422896","136.186.229.110","136.186.230.189","HTTP","538","GET /bunny_1546902bps/BigBuckBunny_2s99.m4s HTTP/1.1 "
